NUTS,perc,urt,class
BE100,0.6,1,1
BE211,0.5,1,1
BE212,0.6,1,1
BE213,0.6,2,4
BE223,0.4,2,4
BE224,,1,
BE225,,2,
BE231,0.7,1,1
BE232,0.4,1,1
BE233,0.6,2,4
BE234,0.6,2,4
BE235,0.3,2,4
BE236,0.8,1,1
BE241,0.8,1,1
BE242,0.6,2,4
BE251,0.2,2,5
BE252,0.3,2,4
BE253,0.0,2,5
BE254,0.4,1,1
BE255,0.4,2,4
BE256,0.7,2,4
BE257,0.3,2,4
BE258,0.3,2,4
BE310,0.6,2,4
BE323,0.1,1,2
BE328,0.2,2,5
BE329,,1,
BE32A,,3,
BE32B,,1,
BE32C,,2,
BE32D,,3,
BE331,0.4,3,7
BE332,0.1,1,2
BE334,0.7,3,7
BE335,0.1,2,5
BE336,0.4,3,7
BE341,0.9,3,7
BE342,1.1,3,7
BE343,0.4,3,7
BE344,0.6,3,7
BE345,0.3,3,7
BE351,0.5,3,7
BE352,0.4,2,4
BE353,0.1,3,8
BG311,-2.3,3,9
BG312,-1.7,2,6
BG313,-1.7,2,6
BG314,-1.5,2,6
BG315,-1.4,2,6
BG321,-1.3,2,6
BG322,-1.6,2,6
BG323,-1.1,2,6
BG324,-1.3,3,9
BG325,-1.2,3,9
BG331,-0.1,2,5
BG332,-1.2,2,6
BG333,-0.5,2,6
BG334,-0.9,3,9
BG341,-0.2,2,5
BG342,-0.9,2,6
BG343,-1.3,2,6
BG344,-0.8,2,6
BG411,-0.1,1,2
BG412,0.0,3,8
BG413,-0.8,2,6
BG414,-0.9,2,6
BG415,-1.5,2,6
BG421,-0.2,2,5
BG422,-1.0,2,6
BG423,-1.0,2,6
BG424,-1.9,3,9
BG425,0.9,3,7
CZ010,1.0,1,1
CZ020,1.0,1,1
CZ031,0.2,3,8
CZ032,0.5,3,7
CZ041,-0.3,2,5
CZ042,-0.1,2,5
CZ051,0.1,2,5
CZ052,0.0,2,5
CZ053,0.2,3,8
CZ063,0.0,3,8
CZ064,0.3,2,4
CZ071,-0.1,2,5
CZ072,-0.1,2,5
CZ080,-0.3,2,5
DK011,1.3,1,1
DK012,0.5,1,1
DK013,0.5,2,4
DK014,-0.1,3,8
DK021,0.7,2,4
DK022,0.2,3,8
DK031,0.4,2,4
DK032,0.2,2,5
DK041,0.1,3,8
DK042,0.9,2,4
DK050,0.2,3,8
DE111,0.5,1,1
DE112,0.8,1,1
DE113,0.5,1,1
DE114,0.6,1,1
DE115,0.6,1,1
DE116,0.5,1,1
DE117,0.9,2,4
DE118,0.8,2,4
DE119,0.6,3,7
DE11A,0.8,3,7
DE11B,0.3,3,7
DE11C,0.5,2,4
DE11D,0.3,2,4
DE121,0.6,1,1
DE122,0.5,1,1
DE123,0.6,1,1
DE124,0.5,1,1
DE125,0.4,1,1
DE126,0.5,1,1
DE127,0.3,3,7
DE128,0.4,1,1
DE129,0.9,2,4
DE12A,0.8,3,7
DE12B,0.5,2,4
DE12C,0.5,3,7
DE131,0.6,2,4
